Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code source,Source,Unité,Valeur,Symbole,Description du Symbole,Note
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","67292","Sols organiques drainés (CO2)","2017","2017","3050","FAO TIER 1","kilotonnes","0","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6994","On-farm energy use","2017","2017","3050","FAO TIER 1","kilotonnes","132.7927","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6751","Terres forestières","2017","2017","3050","FAO TIER 1","kilotonnes","154.6574","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6750","Conversion nette de forêt","2017","2017","3050","FAO TIER 1","kilotonnes","0","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6993","Feux de tourbières","2017","2017","3050","FAO TIER 1","kilotonnes","0","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6991","Évacuation des déchets des systèmes alimentaires","2017","2017","3050","FAO TIER 1","kilotonnes","36.8652","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6504","Fabrication d'engrais","2017","2017","3050","FAO TIER 1","kilotonnes","25.2837","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6510","Consommation d'électricité à la ferme","2017","2017","3050","FAO TIER 1","kilotonnes","37.6348","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","53.5748","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6506","Emballage alimentaire","2017","2017","3050","FAO TIER 1","kilotonnes","8.0683","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6508","Commerce de détail alimentaire","2017","2017","3050","FAO TIER 1","kilotonnes","13.9761","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6505","Consommation des ménages","2017","2017","3050","FAO TIER 1","kilotonnes","458.7671","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6815","Transporte des alimentaires","2017","2017","3050","FAO TIER 1","kilotonnes","233.265","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6821","Énergie","2017","2017","3050","FAO TIER 1","kilotonnes","7930","E","Valeur estimée",""
"GT","Totaux des émissions","2","Afghanistan","7273","Émissions (CO2)","6817","PIUP","2017","2017","3050","FAO TIER 1","kilotonnes","271","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","67292","Sols organiques drainés (CO2)","2017","2017","3050","FAO TIER 1","kilotonnes","515.0563","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","6994","On-farm energy use","2017","2017","3050","FAO TIER 1","kilotonnes","10385.6541","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","6751","Terres forestières","2017","2017","3050","FAO TIER 1","kilotonnes","-500.136","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","6750","Conversion nette de forêt","2017","2017","3050","FAO TIER 1","kilotonnes","6661.3213","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","6993","Feux de tourbières","2017","2017","3050","FAO TIER 1","kilotonnes","0","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","6991","Évacuation des déchets des systèmes alimentaires","2017","2017","3050","FAO TIER 1","kilotonnes","0","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","6510","Consommation d'électricité à la ferme","2017","2017","3050","FAO TIER 1","kilotonnes","5247.7806","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","1068.3056","E","Valeur estimée",""
"GT","Totaux des émissions","202","Afrique du Sud","7273","Émissions (CO2)","6506","Emballage alimentaire","2017","2017","3050","FAO TIER 1","kilotonnes","2774.3281","E","Valeur estimée",""
